,name,num
165770,hiv positive,5.0
2588,brain,19.0
3321,childhood memory,28.0
6135,pharmaceutical industry,6.0
6566,computer chip,3.0
8662,courier,3.0
10919,cyber,5.0
934,judge,62.0
9717,based on comic,159.0
18712,based on graphic novel,22.0
160159,frame up,6.0
162988,dystopic future,37.0
180172,framed for murder,12.0
182703,gene,1.0
182706,prosthetic limb,1.0
182709,post holocaust,1.0
182711,dna testing,4.0
203165,dredd,2.0
236590,2000 ad,2.0
8881,jury,13.0
9465,jurist,2.0
10639,jury duty,1.0
10640,verdict,2.0
2201,first time,28.0
1388,cinema,33.0
11614,filmmaker,29.0
3419,fanatic,12.0
6333,wizardry,12.0
6506,resurrection,34.0
173162,sect,11.0
221387,occultism,5.0
1252,suicide attempt,77.0
10049,teen angst,16.0
41329,mental illness,61.0
4325,game show,8.0
8631,slacker,13.0
41175,shopping,6.0
157690,mall,11.0
162296,ex-boyfriend ex-girlfriend relationship,7.0
168033,jay and silent bob,2.0
171329,silent man,1.0
171343,coke,1.0
171346,bandleader,6.0
179430,aftercreditsstinger,231.0
10988,based on tv series,78.0
12667,tokusatsu,24.0
155030,superhero team,19.0
173577,ethnic diversity,3.0
191474,super sentai,1.0
201635,power rangers,2.0
203223,mighty morphin power rangers,1.0
203224,mmpr,1.0
9872,grief,52.0
175421,death of husband,11.0
10392,mute,28.0
197452,disk,2.0
1332,cheating,61.0
2547,new identity,20.0
10333,stalking,33.0
168386,child wish,6.0
295,library,21.0
8508,party,190.0
11678,free spirit,9.0
207447,librarian,4.0
290,angel,45.0
3648,archangel gabriel,5.0
9511,menschheit,1.0
2754,trauma,32.0
11322,female protagonist,76.0
852,chemical,5.0
6898,quarantine,20.0
12097,allergy,6.0
40895,illness,56.0
202579,retreat,5.0
235410,multiple chemical sensitivity (mcs),1.0
235411,environmental illness,1.0
2871,burning of witches,9.0
10223,puritan,4.0
1663,go-go dancer,4.0
2874,spanner,6.0
3182,seduction,113.0
4378,striptease,17.0
7017,sexappeal,4.0
1621,robber,17.0
8736,laden,1.0
2673,horse,100.0
7323,savannah,5.0
18035,family,289.0
1475,telepathy,24.0
1718,dna,13.0
6017,genetics,17.0
6245,instinct,3.0
9016,femme fatale,57.0
9951,alien,279.0
11181,decapitation,73.0
11190,sexual attraction,21.0
163481,cocoon,5.0
163561,genetic engineering,9.0
234319,scientists,1.0
235513,alien dna,4.0
1946,restaurant,95.0
10590,oil,23.0
445,pornography,44.0
2964,future,140.0
3088,bodyguard,34.0
4566,minidisc,2.0
8440,ex-cop,23.0
3296,car mechanic,15.0
6091,war,204.0
1480,baseball,89.0
158534,korean war,14.0
108,transvestism,28.0
167043,road movie,122.0
2314,pentagon,7.0
11219,navy seal,10.0
15479,fashion,47.0
5334,vineyard,7.0
190061,harvest,4.0
191795,grape,1.0
229895,abandoned woman,1.0
270,ocean,43.0
331,tattoo,38.0
1852,mutant,87.0
4237,water,42.0
34161,doomsday,10.0
11504,black white relations,1.0
208507,alternative universe,1.0
1632,opium,10.0
2490,loss of eyesight,3.0
8099,sioux,5.0
180234,wild bill hickok,7.0
190970,calamity jane,4.0
1964,cave,30.0
5739,waterfall,14.0
10325,mistaken identity,55.0
169995,boy scouts leader,2.0
10786,colonel,17.0
345,monk,36.0
4747,war photographer,5.0
5950,christian,57.0
6805,fashion photographer,11.0
182045,albanian,5.0
206119,macedonia,2.0
811,dialogue,8.0
813,sunrise,7.0
814,talking,5.0
815,soulmates,14.0
816,walking,6.0
1201,austria,19.0
197528,traveller,4.0
215205,danube,4.0
224279,bittersweet,6.0
233027,romantic,3.0
233055,vienna,11.0
2604,babysitter,38.0
159947,parents,16.0
1849,homicide,27.0
1926,car journey,15.0
10685,escape,219.0
787,mississippi,25.0
3098,castle,93.0
178649,voyeurism,36.0
4690,moral conflict,8.0
1361,salesclerk,11.0
3090,loser,23.0
5906,sex addiction,14.0
14781,patient,22.0
180077,don juan,4.0
6021,employee,11.0
6282,workplace,6.0
10850,sexual harassment,12.0
34038,intrigue,22.0
10629,vision,35.0
14742,psychic,44.0
3543,transport of prisoners,10.0
3800,airplane,138.0
4679,parachuting,5.0
160945,expectant father,4.0
6460,chile,17.0
9137,pinochet-regime,4.0
13006,torture,175.0
33740,humiliation,33.0
516,child abuse,53.0
1010,bar,86.0
2619,suspicion of murder,28.0
10041,dysfunctional family,75.0
12193,reporter,117.0
18047,anger,24.0
33457,alcoholic,103.0
207819,accident,37.0
212642,abusive father,8.0
212643,abusive husband,7.0
212644,anti-depressant,1.0
212645,bangor-maine,1.0
212646,bank account,2.0
1420,gas station,30.0
5303,utah,7.0
6241,stupidity,16.0
8126,pill,5.0
11333,cigar smoking,13.0
18326,fired from the job,10.0
159574,clumsiness,3.0
160962,stepmother stepdaughter relationship,3.0
167310,sitting on a toilet,14.0
167584,aspen colorado,1.0
167591,parakeet,1.0
167598,defecation,2.0
167608,scooter,5.0
167615,hotel suite,4.0
167617,endangered species,4.0
167619,foolish,1.0
215404,laxative,13.0
1918,cooking,21.0
2875,sense of life,8.0
13043,dating,44.0
1328,secret,155.0
2334,nightclub,79.0
2589,pet shop,7.0
156455,unhappiness,22.0
738,sexuality,77.0
155271,kinky,2.0
155336,smuggler,9.0
158713,bdsm,26.0
571,transsexuality,17.0
663,fortune teller,19.0
774,film business,13.0
886,film making,38.0
1950,vororte,14.0
2559,film maker,17.0
2793,film director,38.0
2794,oddball,4.0
6562,celebrity,43.0
10338,morphine,8.0
10732,movie studio,10.0
18179,drug addict,19.0
155167,cult director,13.0
162687,theremin,2.0
173594,handgun,4.0
180193,trick or treating,8.0
232471,transvestite,3.0
2519,canadian,14.0
2599,necklace,4.0
4544,fear of flying,3.0
5011,deal,8.0
6212,smuggling,34.0
5720,dallas,4.0
6711,crisis,16.0
177216,referee,5.0
3593,wilderness,79.0
158416,boy and dog,6.0
2032,pop singer,9.0
7312,road trip,109.0
14809,dead mother,6.0
157303,first love,27.0
166475,goofy,13.0
5484,reincarnation,25.0
11478,talking dog,11.0
13063,car accident,65.0
238687,dog movie,1.0
2199,opera,37.0
4001,eunuch,3.0
6384,dresden,3.0
164920,opera singer,10.0
727,country music,22.0
520,chicago,63.0
1483,sports team,12.0
2394,ghetto,25.0
8635,high school sports,14.0
33905,inner city,2.0
33910,high school student,28.0
456,mother,65.0
2132,literature,23.0
2983,passion,39.0
10768,lesbian,148.0
10984,true,15.0
14534,relationship,137.0
1643,deafness,9.0
164181,sister-in-law,7.0
164186,character study,4.0
164193,uncle nephew relationship,8.0
164199,für elise,2.0
2064,overweight,9.0
5767,summer camp,37.0
2303,mathematician,10.0
4803,comet,18.0
8689,albert einstein,2.0
155585,halley's comet,3.0
3136,plantation,26.0
3143,pity,1.0
4197,bite,22.0
231407,fang vamp,18.0
254,france,159.0
2020,revolution,66.0
8570,president,36.0
9682,history,72.0
2601,telephone joke,1.0
6007,media,21.0
156810,science,57.0
221297,male pregnancy,2.0
228611,fertility,2.0
228637,gynaecology,1.0
228638,ceasarean birth,1.0
577,black people,45.0
2463,harvard university,11.0
6139,innocence,26.0
161155,kids,40.0
189151,medieval times,17.0
803,android,57.0
4270,galaxy,9.0
4271,hermit,11.0
10013,death star,5.0
10016,lightsaber,3.0
10527,jedi,9.0
11107,rescue mission,18.0
11195,empire,3.0
11196,rebellion,27.0
13194,planet,22.0
160134,the force,3.0
161176,space opera,51.0
